"ID","Vetenskapligt namn","Order","Minsta order","Pris med moms","Plantskola","rekomenderas","kommentar","Ätligt","Zon","Storlekskommentar","Typ","höjd","Kruka","Lager","Länk"
"","Agapanthus 'Fireworks' PBR","","","98","Si","","","","0","","P","","P11",84,""
"","Buddleja x weyeriana 'Sungold' ","","","60","KZ","","","","","","T","","P9","",""
"","Abies alba 'Badenweiler'","","","2080","Si","","","","","","B","70-80","C15",1,""
"","Asplenium scolopendrium 'Angustifolium'","","","118","Si","","","","","","O","","C2",87,""
"","Amelanchier alnifolia 'Smoky'","","","75","KZ","","bärhäggmispel, ätbar","","5","","T","","P9","",""
"","Aesculus neglecta x 'Autumn Fire'","","","743","S","","","","","","T","60-80","C5","",""
"","Allium giganteum 'White Giant'","","","200","BS","","","","","","P","","C5","",""
"","Acaena inermis 'Purpurea'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer palmatum 'Virdis'","","","2322","S","","","","","","T","100-120","C15","",""
"","Abies concolor","","","4857","S","","","","","","B","180-200","C60 klump","","http://fotodendron.se/trad/abies-concolor/"
"","Ajuga pyramidalis 'Metallica Crispa'","","","62","BS","","","","","","P","","P11","",""
"","Amelanchier alnifolia GREATBERRY FARM","","","493","S","","bärhäggmispel, ätbar","","5","busk","T","60-80","C5","",""
"","Bergenia cordifolia","",12,"28","BS","","","","","","P","","P9","",""
"","Astilbe x arendsii 'Else Schluck'","","","62","BS","","","","","","P","","C2","",""
"","Astrantia major 'Primadonna'","","","38","BS","","","","","","P","","C2","",""
"","Agapanthus 'Poppin Purple' PBR","","","98","Si","","","","0","","P","","P11",83,""
"","Abies alba 'Brinar'","","","367","S","","","","","","B","15-20","C3","",""
"","Ajuga reptans 'Rainbow'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer palmatum","","","70","Li","","japansk lönn, rena grönbladiga arten","","2","","T","20","P7",10,"http://fotodendron.se/trad/acer-palmatum/"
"","Aesculus glabra 'Sofia'","","","743","S","","","","","","T","140-160","C5","",""
"","Armeria maritima 'Alba'","",12,"28","BS","","","","","","P","","P9","",""
"","Actinidia arguta 'Geneva'","","","210","KZ","","","","","","K","","C2","",""
"","Acer palmatum 'Koto No Ito'","","","420","A","","Riktigt finflikiga blad. Acer palmatum är en sekundär art och trivs bäst med lite skugga och helst inte i full sol som på videon.","","","","T","35-40","C3,5",1,"https://youtu.be/WbaKKI3pt_Y?t=33"
"","Ampelopsis aconitifolia","","","392","A","","","","","","K","","C7,5",1,""
"","Artemisia dracunculus 'French Tarragon'","","","76","S","","","","","","P","","C2","",""
"","Acer palmatum 'Reticulatum Purple'","","","2828","S","","","","","","T","60-80 ","C9","",""
"","Acer japonicum fröplantor av 'Aconitifolium'","","","750","A","","","","","","T","60-80","C5",5,""
"","Acer palmatum 'Stella Rossa'","","","532","A","","","","","","T","40","C5",1,""
"","Betula maximowicziana","","","350","Li","","jättebjörk, en östasiatisk björk med extra stora blad som slår ut med lite koppartoner och höstfärgar sig i en bra gul intensitet. ","","6","","T","60-80","C3,5",20,"https://www.instagram.com/p/CGsMbCkpQfs/"
"","Acer palmatum 'Crimson Princess'","","","3334","S","","","","","","T","80-100","C30","",""
"","Aurinia saxatilis","","","59","Si","","","","","","P","","C1,5",3,""
"","Acer saccharum","","","300","Si","","sockerlönn","","","","T","80-120","P16",87,""
"","Alnus glutinosa 'Luszyn' ","","","1072","S","","brett pelarformig sort hittad i centrala Polen","","","","T","220-240 ","C12","",""
"","Aesculus marylandica x","","","1072","S","","","","","","T","140-160","C7,5","",""
"","Berberis thunbergii 'Lutin Rouge'","","","192","Si","","","","","","T","15-25","C2",52,""
"","Agastache mexicana 'Apricot Sprite™'","","","62","BS","","","","","","P","","C2","",""
"","Achillea millefolium 'Cerise Queen'","",12,"28","BS","","","","","","P","","P9","",""
"","Astilbe 'Feuer'","","","257","S","","","","","","P","","C5","",""
"","Albizia julibrissin 'Ernst Wilson'","","","252","A","","silkesträd, oerhört vackra blad och blommor men låg härdighet. Kan övervintra i riktigt varma lägen i Sverige men säkrast är växthus eller vinterförvaring.","","0, gärna växthus","","T","40-50","C2",12,""
"","Acer tegmentosum","","","392","A","","manchurisk strimlönn","","","","T","120-150","C3,5/5",14,"http://fotodendron.se/trad/acer-tegmentosum/"
"","Betula nana 'Golden Treasure' PBR","","","1969","S","","","","","","T","80-100","C30 Pa","",""
"","Abies concolor","","","5429","S","","","","","","B","200-220","C80 klump","",""
"","Acer pseudoplatanus 'Orlov'","","","982","S","","","","","","T","200-220","C7,5 Pa","",""
"","Betula SENTINELLE D'ARGENT 'Minsent'","","","657","S","","","","","","T","120-140","C5","",""
"","Armeria maritima 'Splendens'","","","62","BS","","","","","","P","","C2","",""
"","Aesculus glabra 'Herkenrode'","","","743","S","","","","","","T","80-100","C5","",""
"","Astilbe x arendsii 'Hyazinth'","","","62","BS","","","","","","P","","C2","",""
"","Betula costata 'Select'","","","629","S","","","","","","T","40-60 ","C5","",""
"","Ajuga reptans 'Burgundy Glow'","","","74","S","","","","","","P","","C2","",""
"","Aesculus glaucescens x","","","714","S","","","","","","T","100-120","C20 Pa","",""
"","Abies koreana 'Kristalkugel '4-Year ","","","1600","Si","","","","","ympad på 60 cm stam","B","Pa 60","C7,5",1,""
"","Agapanthus 'Golden Drop' PBR","","","514","S","","","","0","","P","","C6","",""
"","Aesculus hippocastanum 'Monstrosa'","","","1598","S","","","","","","T","40-60","C9","",""
"","Actinidia deliciosa 'Jenny'","","","92","KZ","","","","","","K","","P9","",""
"","Aesculus hippocastanum 'Monstrosa'","","","1899","S","","","","","","T","80-100","C10 Pa","",""
"","Betula pendula 'Youngii'","","","3466","S","","tårbjörk","","6","","T","200-220/stamomf  6-8","C45 Pa","",""
"","Aster pyreaneus 'Lutetia'","","","42","BS","","låg och tät med mkt ljust blålila blommor","","","","P","","P11","",""
"","Achillea millefolium 'Terracota'","","","42","BS","","","","","","P","","P11","",""
"","Abeliophyllum distichum 'Roseum'","","","457","S","","rosablommig vinterbuske, som en ljusrosa forsythia!","","2","","T","60-80","C5","","rosablommig vinterbuske, https://www.youtube.com/watch?v=C3j75pn6s3c"
"","Acer platanoides 'Walderseei'","","","1343","S","","","","","","T","140-160","C12 Pa","",""
"","Acer platanoides 'Charles Joly'","","","1257","S","","","","","","T","120-140","C12 Pa","",""
"","Acer palmatum 'Viridis'","","","3929","S","","","","","","T","80-100","C15","",""
"","Ajuga reptans 'Pink Surprise'","",12,"28","BS","","","","","","P","","P9","",""
"","Aesculus mutabilis x  'Pendulifolia'","","","971","S","","","","","","T","120-140","C20 Pa","",""
"","Acer platanoides 'Columnare'","","","1571","S","","Elegant lönn med smal, kägelformad krona. ","","","","T","240-260/stamomf 6-8","C20","","http://fotodendron.se/trad/acer-platanoides-columnare/"
"","Acer palmatum ","","","190","Si","","japansk lönn, rena grönbladiga arten","","2","","T","80-100","P11",200,"https://www.instagram.com/p/CHQ5fYFpMHo/"
"","Berberis thunbergii 'Sunsation'","","","136","S","","","","","","T","25-30","C3","",""
"","Amelanchier alnifolia 'Northline'","","","75","KZ","","bärhäggmispel, ätbar","","5","","T","","P9","",""
"","Betula alleghaniensis","","","971","S","","en björk som har intensivare gul höstfärg än de flesta andra björkar. Det lyser verkligen om dom på hösten.","","","","T","200-220 ","C15","","https://www.instagram.com/p/CU1koQIj4un/"
"","Buddleja davidii FREE PETITE BLUE HEAVEN 'Podaras","","","226","S","","","","","","T","30-40","C3","",""
"","Buddleja davidii 'Nanho Purple'","","","140","A","","","","","","T","","C3,5",1,""
"","Acer pensylvanicum","","","456","A","","amerikansk strimlönn","","4","","T","150","C3,5/5",3,"http://fotodendron.se/trad/acer-pensylvanicum/"
"","Amelanchier alnifolia 'Krasnojarskaja'","","","524","S","","bärhäggmispel, ätbar","","5","busk","T","60-80","C5","",""
"","Amelanchier alnifolia 'Krasnojarskaja'","","","171","KZ","","bärhäggmispel, ätbar","","5","","T","","C2","",""
"","Acer palmatum 'Beni-shichi-henge' ","","","3929","S","","","","","","T","100-120","C15","",""
"","Agapanthus TWISTER 'Ambic 001' PBR","","","514","S","","","","0","","P","","C6","",""
"","Amelanchier alnifolia 'Martin'","","","75","KZ","","storfruktig, söt.","","5","","T","","P9","",""
"","Achillea millefolium","","","42","BS","","","","","","P","","P11","",""
"","Aster ericoides 'Erlkoenigin'","","","62","BS","","","","","","P","","P11","",""
"","Aquilegia vulgaris 'Alba'","","","42","BS","","","","","","P","","P11","",""
"","Acer platanoides 'Globosum'","","","1280","Si","","","","","ympad på stam","T","Pa 180-200","C12",3,"http://fotodendron.se/trad/acer-platanoides-globosum/ "
"","Aesculus marylandica x","","","1072","S","","","","","","T","120-140","C20","",""
"","Astilbe chinensis 'Vision in Red'","","","62","BS","","","","","","P","","C2","",""
"","Acer shirasawanum 'King's Copse'","","","1257","S","","","","","","T","30-40","C6","",""
"","Androsace sarmentosa","",12,"28","BS","","","","","","P","","P9","",""
"","Amelanchier canadensis 'Prince William'","","","450","Si","","kanadensisk häggmispel, ätbar","","5","","T","100-140","C5",5,""
"","Aquilegia vulgaris","","","49","Si","","","","","","P","","C1,5",3,""
"","Asparagus officinalis 'var. Pseudoscaber Spitzenschleier'","","","62","BS","","","","","","P","","P11","",""
"","Berberis thunbergii 'Rose Glow'","","","126","S","","","","","","T","30-40","C3","",""
"","Betula pendula MAGICAL GLOBE 'Globe' PBR","","","1114","S","","","","","","T","100-120","C5 Pa","",""
"","Acer carpinifolium","","","3428","S","","","","","","T","260-280 / stamomf  6- 8 ","C30","","https://live.staticflickr.com/65535/51811045859_54ef67f809_o.png"
"","Abies lasiocarpa var. arizonica","","","380","Li","","korkgran","","4","","B","20-40","C3,5",4,""
"","Berberis thunbergii 'Orange Rocket' (PBR)","","","288","Si","","","","","","T","40-60","C5",46,""
"","Acer palmatum 'Tsumagaki'","","","532","A","","","","","","T","50","C5",1,""
"","Acer pseudosieboldianum fk. Best Form","","","288","A","","Höstfärg !! manchurisk solfjäderslönn, fröpl. från fin form","","","","T","20-30","C2",6,""
"","Azorella trifurcata 'Minima'","","","42","BS","","","","","","P","","P11","",""
"","Anemone sylvestris 'Snow White'","","","29","Si","","","","","","P","","P9",57,""
"","Acer platanoides 'Globosum Select'","","","1400","S","","","","","","T","140-160","C20 Pa","",""
"","Acer palmatum 'Trompenburg'","","","8818","S","","","","","","T","","C70 175/200","",""
"","Aquilegia vulgaris 'Ruby Port'","","","42","BS","","favorit! Mörkt röd, dubbel","","","","P","","P11","",""
"","Allium sphaerocephalon","",12,"28","BS","","","","","","P","","P9","",""
"","Achillea millefolium 'Milly Rock Red'","","","59","Si","","","","","","P","","P13",9,""
"","Abies hybride 'Bedgebury'","","","543","S","","","","","","B","20-30","C3","",""
"","Buddleja davidii 'Miss Molly' PBR","","","364","S","","","","","","T","40-60","C5","",""
"","Anemone sylvestris","",12,"28","BS","","tovsippa","","","","P","","P9","",""
"","Aubrieta x cultorum 'Audrey™ F1 Mid Blue''","",12,"28","BS","","","","","","P","","P9","",""
"","Berberis thunbergii 'Golden Ring'","","","126","S","","","","","","T","25-30","C3","",""
"","Agastache 'Morello'","","","62","BS","","","","","","P","","C2","",""
"","Armeria maritima 'Rubifolia'","","","42","BS","","","","","","P","","P11","",""
"","Aster novi-belgii 'Marie Ballard'","","","62","BS","","","","","","P","","C2","",""
"","Bistorta amplexicaulis 'Fascination'","","","80","Li","","blodormrot","","","","P","","C3",4,""
"","Antennaria dioica 'Bright Rose'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer saccharum","","","1280","Si","","sockerlönn","","","","T","240-260","C25",1,""
"","Abies koreana","","","192","S","","","","","","B","30-40","C3","","https://live.staticflickr.com/65535/51810700336_248c6d4629_o.jpg"
"","Abies fargesii 'Headfort'","","","829","S","","","","","","B","30-40","C7,5","",""
